# Copyright (c) 1966-2023 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2023-08-27
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)					
615845	gene	406965	MIR190A	ENSG00000211137
615846	phenotype			
615847	gene	51134	CEP83	ENSG00000173588
615848	phenotype			
615849	phenotype			
615850	gene	55275	VPS53	ENSG00000141252
615851	phenotype			
615852	gene	51560	RAB6B	ENSG00000154917
615853	gene	196743	PAOX	ENSG00000148832
615854	gene	54498	SMOX	ENSG00000088826
615855	gene	83857	TMTC1	ENSG00000133687
615856	gene	160335	TMTC2	ENSG00000179104
615857	gene	55239	OGFOD1	ENSG00000087263
615858	gene	54665	RSBN1	ENSG00000081019
615859	phenotype			
615860	phenotype			
615861	phenotype			
615862	phenotype			
615863	phenotype			
615864	gene	79598	CEP97	ENSG00000182504
615865	gene	84461	NEURL4	ENSG00000215041
615866	phenotype			
615867	gene	221322	TBC1D32	ENSG00000146350
615868	gene	404203	SPINK6	ENSG00000178172
615869	gene	126282	TNFAIP8L1	ENSG00000185361
615870	gene	11020	IFT27	ENSG00000100360
615871	phenotype			
615872	phenotype			
615873	phenotype			
615874	gene	26156	RSL1D1	ENSG00000171490
615875	gene	25950	RWDD3	ENSG00000122481
615876	gene	83861	RSPH3	ENSG00000130363
615877	phenotype			
615878	phenotype			
615879	phenotype			
615880	gene	80728	ARHGAP39	ENSG00000147799
615881	phenotype			
615882	gene	23637	RABGAP1	ENSG00000011454
615883	phenotype			
615884	gene	57136	APMAP	ENSG00000101474
615885	phenotype			
615886	gene	644815	FAM83G	ENSG00000188522
615887	phenotype			
615888	phenotype			
615889	phenotype			
615890	gene	51143	DYNC1LI1	ENSG00000144635
615891	gene	339487	ZBTB8OS	ENSG00000176261
615892	phenotype	103581096		
615893	gene	54492	NEURL1B	ENSG00000214357
615894	gene	55628	ZNF407	ENSG00000215421
615895	phenotype			
615896	phenotype			
615897	phenotype			
615898	gene	55471	NDUFAF7	ENSG00000003509
615899	gene	169611	OLFML2A	ENSG00000185585
615900	gene	60509	AGBL5	ENSG00000084693
615901	gene	342897	NCCRP1	ENSG00000188505
615902	gene	55012	PPP2R3C	ENSG00000092020
615903	gene	400916	CHCHD10	ENSG00000250479
615904	gene	137902	PXDNL	ENSG00000147485
615905	phenotype			
615906	gene	79596	OBI1	ENSG00000152193
615907	phenotype			
615908	gene	574476	MIR520C	ENSG00000207738
615909	phenotype			
615910	gene	55739	NAXD	ENSG00000213995
615911	phenotype			
615912	gene	79807	GSTCD	ENSG00000138780
615913	gene	135293	PM20D2	ENSG00000146281
615914	gene	55602	CDKN2AIP	ENSG00000168564
615915	gene	131368	ZPLD1	ENSG00000170044
615916	phenotype			
615917	phenotype			
615918	phenotype			
615919	phenotype			
615920	gene	55771	PRR11	ENSG00000068489
615921	gene	84808	PERM1	ENSG00000187642
615922	phenotype			
615923	phenotype			
615924	phenotype			
615925	phenotype			
615926	phenotype			
615927	gene	144347	RFLNA	ENSG00000178882
615928	gene	359845	RFLNB	ENSG00000183688
615929	gene	26057	ANKRD17	ENSG00000132466
615930	gene	100526820	CAHM	ENSG00000270419
615931	gene	51334	PRR16	ENSG00000184838
615932	gene	222658	KCTD20	ENSG00000112078
615933	gene	84280	BTBD10	ENSG00000148925
615934	phenotype			
615935	phenotype			
615936	gene	143872	ARHGAP42	ENSG00000165895
615937	phenotype			
615938	phenotype			
615939	gene	201562	HACD2	ENSG00000206527
615940	gene	51495	HACD3	ENSG00000074696
615941	gene	401494	HACD4	ENSG00000188921
615942	phenotype			
615943	gene	260425	MAGI3	ENSG00000081026
615944	gene	26005	C2CD3	ENSG00000168014
615945	phenotype			
615946	phenotype			
615947	phenotype			
615948	phenotype			
615949	gene	26022	TMEM98	ENSG00000006042
615950	gene	10290	SPEG	ENSG00000072195
615951	gene	57688	ZSWIM6	ENSG00000130449
615952	phenotype			
615953	phenotype			
615954	phenotype			
615955	gene	84960	CCDC183	ENSG00000213213
615956	gene	115948	ODAD3	ENSG00000198003
615957	phenotype			
615958	gene	128710	SLX4IP	ENSG00000149346
615959	phenotype			
615960	phenotype			
615961	phenotype			
615962	phenotype			
615963	phenotype			
615964	gene	388815	MIR99AHG	ENSG00000215386
615965	gene	399959	MIR100HG	ENSG00000255248
615966	phenotype			
615967	gene	54905	CYP2W1	ENSG00000073067
615968	gene	103752554	MYCNUT	ENSG00000223850
615969	phenotype			
615970	phenotype			
615971	moved/removed			
615972	phenotype			
615973	phenotype			
615974	phenotype			
615975	gene	92305	TMEM129	ENSG00000168936
615976	gene	101927703	FOXCUT	
615977	gene	442907	MIR339	ENSG00000199023
615978	phenotype			
615979	phenotype			
615980	phenotype			
615981	phenotype			
615982	phenotype			
615983	phenotype			
615984	phenotype			
615985	phenotype			
615986	phenotype			
615987	phenotype			
615988	phenotype			
615989	phenotype			
615990	phenotype			
615991	phenotype			
615992	phenotype			
615993	phenotype			
615994	phenotype			
615995	phenotype			
615996	phenotype			
615997	gene	245932	DEFB119	ENSG00000180483
615998	gene	9921	RNF10	ENSG00000022840
615999	phenotype			
616000	phenotype			
616001	phenotype			
616002	phenotype			
616003	gene	84334	COA8	ENSG00000256053
616004	phenotype			
616005	phenotype			
616006	phenotype			
616007	phenotype			
616008	gene	51138	COPS4	ENSG00000138663
616009	gene	50813	COPS7A	ENSG00000111652
616010	gene	64708	COPS7B	ENSG00000144524
616011	gene	10920	COPS8	ENSG00000198612
616012	gene	84522	JAGN1	ENSG00000171135
616013	gene	93587	TRMT10A	ENSG00000145331
616014	gene	64320	RNF25	ENSG00000163481
616015	gene	285671	RNF180	ENSG00000164197
616016	gene	57460	PPM1H	ENSG00000111110
616017	gene	140691	TRIM69	ENSG00000185880
616018	moved/removed			
616019	gene	283248	RCOR2	ENSG00000167771
616020	gene	116159	CYYR1	ENSG00000166265
616021	gene	100996571	CYYR1-AS1	ENSG00000197934
616022	phenotype			
616023	gene	57466	SCAF4	ENSG00000156304
616024	gene	22828	SCAF8	ENSG00000213079
616025	phenotype			
616026	phenotype			
616027	gene	54443	ANLN	ENSG00000011426
616028	phenotype			
616029	phenotype			
616030	phenotype			
616031	gene	285025	CCDC141	ENSG00000163492
616032	phenotype			
616033	phenotype			
616034	phenotype			
616035	gene	22887	FOXJ3	ENSG00000198815
616036	gene	574452	MIR494	ENSG00000194717
616037	phenotype			
616038	phenotype			
616039	phenotype			
616040	phenotype			
616041	gene	100131187	TSTD1	ENSG00000215845
616042	phenotype			
616043	gene	100750225	PCAT1	ENSG00000253438
616044	phenotype			
616045	phenotype			
616046	gene	9050	PSTPIP2	ENSG00000152229
616047	gene	57587	CFAP97	ENSG00000164323
616048	gene	100505854	APTR	ENSG00000214293
616049	gene	10953	TOMM34	ENSG00000025772
616050	phenotype			
616051	phenotype			
616052	phenotype			
616053	phenotype			
616054	gene	55250	ELP2	ENSG00000134759
616055	phenotype	104326187		
616056	phenotype			
616057	gene	285194	TUSC7	ENSG00000243197
616058	gene	100507308	TARID	ENSG00000227954
616059	phenotype			
616060	phenotype			
616061	gene	23269	MGA	ENSG00000174197
616062	gene	23141	ANKLE2	ENSG00000176915
616063	phenotype			
616064	gene	64129	TINAGL1	ENSG00000142910
616065	gene	196500	PIANP	ENSG00000139200
616066	gene	54937	SOHLH2	ENSG00000120669
616067	phenotype			
616068	gene	285943	HOXA-AS2	
616069	phenotype			
616070	gene	29070	CCDC113	ENSG00000103021
616071	gene	136895	SPMIP4	ENSG00000153790
616072	gene	50809	HP1BP3	ENSG00000127483
616073	gene	55789	DEPDC1B	ENSG00000035499
616074	gene	51192	CKLF	ENSG00000217555
616075	gene	245934	DEFB121	ENSG00000204548
616076	gene	245936	DEFB123	ENSG00000180424
616077	gene	245935	DEFB122	ENSG00000290996
616078	phenotype			
616079	phenotype			
616080	phenotype			
616081	phenotype			
616082	gene	57102	C12orf4	ENSG00000047621
616083	phenotype			
616084	phenotype			
616085	gene	7587	ZNF37A	ENSG00000075407
616086	gene	83932	SPRTN	ENSG00000010072
616087	phenotype			
616088	gene	440712	RHEX	ENSG00000263961
616089	phenotype			
616090	gene	768219	MIR802	ENSG00000211590
616091	gene	64745	METTL17	ENSG00000165792
616092	gene	100874054	FALEC	ENSG00000228126
616093	phenotype			
616094	phenotype			
616095	phenotype			
616096	gene	104564225	MHRT	
616097	gene	790955	UQCC3	ENSG00000204922
616098	phenotype			
616099	phenotype			
616100	phenotype			
616101	gene	339453	TMEM240	ENSG00000205090
616102	gene	54495	TMX3	ENSG00000166479
616103	gene	26103	LRIT1	ENSG00000148602
616104	gene	11317	RBPJL	ENSG00000124232
616105	gene	57231	SNX14	ENSG00000135317
616106	phenotype			
616107	gene	84188	FAR1	ENSG00000197601
616108	phenotype			
616109	gene	79703	TOP6BL	ENSG00000173715
616110	gene	23220	DTX4	ENSG00000110042
616111	phenotype			
616112	gene	56203	LMOD3	ENSG00000163380
616113	phenotype			
616114	gene	84181	CHD6	ENSG00000124177
616115	phenotype			
616116	phenotype			
616117	phenotype			
616118	phenotype			
616119	gene	257177	CFAP126	ENSG00000188931
616120	gene	55280	CWF19L1	ENSG00000095485
616121	predominantly phenotypes	387751	GVINP1	ENSG00000254838
616122	gene	85002	FAM86B1	ENSG00000186523
616123	gene	653333	FAM86B2	ENSG00000145002
616124	gene	55199	FAM86C1P	ENSG00000158483
616125	gene	90826	PRMT9	ENSG00000164169
616126	phenotype			
616127	phenotype			
616128	gene	23625	FAM89B	ENSG00000176973
616129	gene	541468	LURAP1	ENSG00000171357
616130	gene	286343	LURAP1L	ENSG00000153714
616131	gene	100287082	GACAT2	ENSG00000265962
616132	gene	104797537	GACAT3	ENSG00000236289
616133	gene	84769	MPV17L2	ENSG00000254858
616134	gene	440093	H3-5	ENSG00000188375
616135	gene	24138	IFIT5	ENSG00000152778
616136	gene	55182	RNF220	ENSG00000187147
616137	gene	100126316	MIR873	ENSG00000215939
616138	phenotype			
616139	phenotype			
616140	phenotype			
616141	gene	55506	MACROH2A2	ENSG00000099284
616142	gene	283742	FAM98B	ENSG00000171262
616143	gene	11313	LYPLA2	ENSG00000011009
616144	gene	84942	WDR73	ENSG00000177082
616145	phenotype			
616146	gene	23483	TGDS	ENSG00000088451
616147	gene	65061	CDK15	ENSG00000138395
616148	gene	286827	TRIM59	ENSG00000213186
616149	gene	55186	SLC25A36	ENSG00000114120
616150	gene	153328	SLC25A48	ENSG00000145832
616151	phenotype			
616152	phenotype			
616153	gene	147407	SLC25A52	ENSG00000141437
616154	phenotype			
616155	phenotype			
616156	gene	55711	FAR2	ENSG00000064763
616157	gene	147015	DHRS13	ENSG00000167536
616158	phenotype			
616159	gene	79154	DHRS11	ENSG00000278535
616160	gene	25979	DHRS7B	ENSG00000109016
616161	gene	201140	DHRS7C	ENSG00000184544
616162	gene	56948	SDR39U1	ENSG00000100445
616163	gene	79758	DHRS12	ENSG00000102796
616164	gene	93517	SDR42E1	ENSG00000184860
616165	phenotype			
616166	phenotype			
616167	gene	123879	DCUN1D3	ENSG00000188215
616168	gene	100188893	TOMM6	ENSG00000214736
616169	gene	401505	TOMM5	ENSG00000175768
616170	phenotype			
616171	phenotype			
616172	phenotype			
616173	gene	84081	NSRP1	ENSG00000126653
616174	gene	150468	CKAP2L	ENSG00000169607
616175	gene	51465	UBE2J1	ENSG00000198833
616176	phenotype			
616177	gene	65992	DDRGK1	ENSG00000198171
616178	gene	124842	TMEM132E	ENSG00000181291
616179	gene	57544	TXNDC16	ENSG00000087301
616180	gene	23015	GOLGA8A	ENSG00000175265
616181	gene	349075	ZNF713	ENSG00000178665
616182	phenotype	105180377		
616183	gene	84314	TMEM107	ENSG00000179029
616184	gene	23277	CLUH	ENSG00000132361
616185	phenotype			
616186	gene	105259599		
616187	phenotype			
616188	phenotype			
616189	gene	23070	CMTR1	ENSG00000137200
616190	gene	55783	CMTR2	ENSG00000180917
616191	gene	22839	DLGAP4	ENSG00000080845
616192	phenotype			
616193	phenotype			
616194	gene	84135	UTP15	ENSG00000164338
616195	gene	23160	WDR43	ENSG00000163811
616196	gene	25879	DCAF13	ENSG00000164934
616197	gene	79954	NOL10	ENSG00000115761
616198	phenotype			
616199	phenotype			
616200	phenotype			
616201	phenotype			
616202	phenotype			
616203	gene	153129	SLC38A9	ENSG00000177058
616204	phenotype			
616205	gene	693233	MIR648	ENSG00000207780
616206	gene	729177	NBAT1	
616207	gene	100506668	NRAV	ENSG00000248008
616208	phenotype			
616209	phenotype			
616210	gene	201725	C4orf46	ENSG00000205208
616211	phenotype			
616212	phenotype			
616213	gene	23036	ZNF292	ENSG00000188994
616214	phenotype			
616215	gene	90993	CREB3L1	ENSG00000157613
616216	phenotype			
616217	phenotype			
616218	gene	54662	TBC1D13	ENSG00000107021
616219	phenotype			
616220	phenotype			
616221	phenotype			
616222	phenotype			
616223	gene	55908	ANGPTL8	ENSG00000130173
616224	phenotype			
616225	gene	23130	ATG2A	ENSG00000110046
616226	gene	55102	ATG2B	ENSG00000066739
616227	phenotype			
616228	phenotype			
616229	phenotype			
616230	phenotype			
616231	phenotype			
616232	gene	728637	MEIKIN	ENSG00000239642
616233	moved/removed			
616234	gene	80304	WDCP	ENSG00000163026
616235	gene	79768	KATNBL1	ENSG00000134152
616236	gene	150356	CHADL	ENSG00000100399
616237	gene	85442	KNDC1	ENSG00000171798
616238	gene	166793	ZBTB49	ENSG00000168826
616239	phenotype			
616240	gene	90271	OLMALINC	ENSG00000235823
616241	gene	284207	METRNL	ENSG00000176845
616242	gene	23023	TMCC1	ENSG00000172765
616243	gene	23240	TMEM131L	ENSG00000121210
616244	gene	51142	CHCHD2	ENSG00000106153
616245	gene	51234	EMC4	ENSG00000128463
616246	gene	100507027	MRLN	ENSG00000227877
616247	phenotype			
616248	phenotype			
616249	phenotype			
616250	gene	284434	NWD1	ENSG00000188039
616251	gene	9747	TCAF1	ENSG00000198420
616252	gene	285966	TCAF2	ENSG00000170379
616253	gene	170825	GSX2	ENSG00000180613
616254	gene	81570	CLPB	ENSG00000162129
616255	phenotype			
616256	gene	339390	CLEC4G	ENSG00000182566
616257	gene	11328	FKBP9	ENSG00000122642
616258	phenotype			
616259	gene	104472715	SNHG14	
616260	phenotype			
616261	gene	54517	PUS7	ENSG00000091127
616262	gene	9903	KLHL21	ENSG00000162413
616263	phenotype			
616264	gene	102467146	MAFTRR	ENSG00000261390
616265	phenotype			
616266	phenotype			
616267	phenotype			
616268	phenotype			
616269	phenotype			
616270	phenotype			
616271	phenotype			
616272	gene	574484	MIR520G	ENSG00000207799
616273	gene	104472713	PCAT29	ENSG00000245750
616274	gene	100423042	MIR4276	ENSG00000265846
616275	gene	84908	FAM136A	ENSG00000035141
616276	phenotype			
616277	phenotype			
616278	phenotype			
616279	phenotype			
616280	phenotype			
616281	phenotype			
616282	phenotype			
616283	gene	83480	PUS3	ENSG00000110060
616284	gene	388698	FLG2	ENSG00000143520
616285	gene	114793	FMNL2	ENSG00000157827
616286	phenotype			
616287	phenotype			
616288	gene	91010	FMNL3	ENSG00000161791
616289	phenotype			
616290	gene	26149	ZNF658	ENSG00000274349
616291	phenotype			
616292	gene	158297	SAXO1	ENSG00000155875
616293	gene	388697	HRNR	ENSG00000197915
616294	phenotype			
616295	phenotype			
616296	gene	79772	MCTP1	ENSG00000175471
616297	gene	55784	MCTP2	ENSG00000140563
616298	phenotype			
616299	phenotype			
616300	phenotype			
616301	gene	100131439	CD300LD	ENSG00000204345
616302	gene	221937	FOXK1	ENSG00000164916
616303	gene	29062	WDR91	ENSG00000105875
616304	phenotype			
616305	gene	55691	FRMD4A	ENSG00000151474
616306	gene	100861412	FSBP	ENSG00000265817
616307	phenotype			
616308	gene	103344929	BGLT3	ENSG00000260629
616309	gene	84978	FRMD5	ENSG00000171877
616310	gene	89839	ARHGAP11B	ENSG00000285077
616311	phenotype			
616312	gene	221496	LEMD2	ENSG00000161904
616313	phenotype			
616314	phenotype			
616315	gene	286257	PAXX	ENSG00000148362
616316	gene	23201	FAM168A	ENSG00000054965
616317	gene	284161	GDPD1	ENSG00000153982
616318	gene	79153	GDPD3	ENSG00000102886
616319	gene	51444	RNF138	ENSG00000134758
616320	gene	81889	FAHD1	ENSG00000180185
616321	phenotype			
616322	phenotype			
616323	phenotype			
616324	phenotype			
616325	phenotype			
616326	phenotype			
616327	gene	283489	CHAMP1	ENSG00000198824
616328	gene	105447646		
616329	phenotype			
616330	phenotype			
616331	phenotype			
616332	gene	79624	ARMT1	ENSG00000146476
616333	gene	105664404	WSPAR	ENSG00000249073
616334	gene	55273	TMEM100	ENSG00000166292
616335	phenotype			
616336	gene	441282	AKR1B15	ENSG00000227471
616337	gene	122809	SOCS4	ENSG00000180008
616338	gene	347689	SOX2-OT	ENSG00000242808
616339	phenotype			
616340	phenotype			
616341	phenotype			
616342	phenotype			
616343	gene	102800311	TP53COR1	
616344	gene	153657	TTC23L	ENSG00000205838
616345	phenotype			
616346	phenotype			
616347	gene	56981	PRDM11	ENSG00000019485
616348	gene	57116	ZNF695	ENSG00000197472
616349	gene	8470	SORBS2	ENSG00000154556
616350	gene	100630918	PARTICL	ENSG00000286532
616351	phenotype			
616352	gene	84320	ACBD6	ENSG00000230124
616353	phenotype			
616354	phenotype			
616355	phenotype			
616356	gene	554202	MIR31HG	ENSG00000171889
616357	phenotype			
616358	gene	494328	MIR379	ENSG00000199088
616359	gene	84274	COQ5	ENSG00000110871
616360	gene	65084	TMEM135	ENSG00000166575
616361	phenotype	108353827		
616362	phenotype			
616363	gene	163778	SPRR4	ENSG00000184148
616364	phenotype			
616365	gene	55681	SCYL2	ENSG00000136021
616366	phenotype			
616367	phenotype			
616368	phenotype			
616369	moved/removed			
616370	phenotype			
616371	phenotype			
616372	gene	26094	DCAF4	ENSG00000119599
616373	phenotype			
616374	gene	57673	BEND3	ENSG00000178409
616375	gene	85451	UNK	ENSG00000132478
616376	gene	724026	MIR656	ENSG00000207959
616377	gene	58510	PRODH2	ENSG00000250799
616378	gene	51035	UBXN1	ENSG00000162191
616379	gene	26043	UBXN7	ENSG00000163960
616380	gene	22798	LAMB4	ENSG00000091128
616381	gene	55596	ZCCHC8	ENSG00000033030
616382	gene	79799	UGT2A3	ENSG00000135220
616383	gene	133688	UGT3A1	ENSG00000145626
616384	gene	167127	UGT3A2	ENSG00000168671
616385	gene	255167	LINC01018	ENSG00000250056
616386	gene	79734	KCTD17	ENSG00000100379
616387	gene	145837	DRAIC	ENSG00000245750
616388	gene	80019	UBTD1	ENSG00000165886
616389	phenotype			
616390	phenotype			
616391	gene	202151	RANBP3L	ENSG00000164188
616392	predominantly phenotypes	391037	SKINT1L	
616393	phenotype			
616394	phenotype			
616395	phenotype			
616396	gene	22955	SCMH1	ENSG00000010803
616397	gene	11264	PXMP4	ENSG00000101417
616398	phenotype			
616399	phenotype			
616400	phenotype			
616401	gene	54908	SPDL1	ENSG00000040275
616402	phenotype			
616403	gene	11257	TP53TG1	ENSG00000182165
616404	gene	25885	POLR1A	ENSG00000068654
616405	gene	22848	AAK1	ENSG00000115977
616406	gene	29920	PYCR2	ENSG00000143811
616407	phenotype			
616408	gene	65263	PYCR3	ENSG00000104524
616409	phenotype			
616410	phenotype			
616411	phenotype			
616412	gene	81567	TXNDC5	ENSG00000239264
616413	phenotype			
616414	phenotype			
616415	phenotype			
616416	gene	22859	ADGRL1	ENSG00000072071
616417	gene	23284	ADGRL3	ENSG00000150471
616418	phenotype			
616419	gene	64123	ADGRL4	ENSG00000162618
616420	phenotype			
616421	phenotype			
616422	gene	79736	TEFM	ENSG00000172171
616423	gene	22907	DHX30	ENSG00000132153
616424	gene	79918	SETD6	ENSG00000103037
616425	phenotype			
616426	gene	55125	CEP192	ENSG00000101639
616427	gene	642597	AKAIN1	ENSG00000231824
616428	phenotype			
616429	gene	203328	SUSD3	ENSG00000157303
616430	phenotype			
616431	gene	150763	GPAT2	ENSG00000186281
616432	gene	23370	ARHGEF18	ENSG00000104880
616433	phenotype			
616434	gene	9798	IST1	ENSG00000182149
616435	phenotype			
616436	phenotype			
616437	phenotype			
616438	gene	388121	TNFAIP8L3	ENSG00000183578
616439	phenotype			
616440	gene	140679	SLC32A1	ENSG00000101438
616441	gene	58495	OVOL2	ENSG00000125850
616442	gene	728361	OVOL3	ENSG00000105261
616443	gene	9205	ZMYM5	ENSG00000132950
616444	gene	9904	RBM19	ENSG00000122965
616445	phenotype			
616446	gene	163747	CIMAP2	ENSG00000162398
616447	gene	25962	VIRMA	ENSG00000164944
616448	gene	201475	RAB12	ENSG00000206418
616449	phenotype			
616450	gene	79180	EFHD2	ENSG00000142634
616451	phenotype			
616452	phenotype			
616453	gene	23091	ZC3H13	ENSG00000123200
616454	gene	79797	ZNF408	ENSG00000175213
616455	phenotype			
616456	gene	83444	INO80B	ENSG00000115274
616457	phenotype			
616458	gene	59335	PRDM12	ENSG00000130711
616459	phenotype			
616460	phenotype			
616461	phenotype			
616462	phenotype			
616463	gene	7775	ZNF232	ENSG00000167840
616464	gene	11319	ECD	ENSG00000122882
616465	gene	55610	VPS50	ENSG00000004766
616466	gene	137970	UNC5D	ENSG00000156687
616467	gene	25911	DPCD	ENSG00000166171
616468	phenotype			
616469	phenotype			
616470	phenotype			
616471	phenotype			
616472	gene	9898	UBAP2L	ENSG00000143569
616473	gene	693143	MIR558	ENSG00000207653
616474	gene	7741	ZSCAN26	ENSG00000197062
616475	gene	55722	CEP72	ENSG00000112877
616476	gene	84871	AGBL4	ENSG00000186094
616477	gene	29982	NRBF2	ENSG00000148572
616478	gene	136332	LRGUK	ENSG00000155530
616479	phenotype			
616480	gene	57536	KIAA1328	ENSG00000150477
616481	phenotype			
616482	phenotype			
616483	phenotype			
616484	gene	30851	TAX1BP3	ENSG00000213977
616485	gene	49854	ZBTB21	ENSG00000173276
616486	phenotype			
616487	phenotype			
616488	phenotype			
616489	phenotype			
616490	phenotype			
616491	phenotype			
616492	gene	283673	EWSAT1	ENSG00000212766
616493	gene	23272	TASOR	ENSG00000163946
616494	phenotype			
616495	gene	151188	ARL6IP6	ENSG00000177917
616496	gene	23306	NEMP1	ENSG00000166881
616497	gene	100131211	NEMP2	ENSG00000189362
616498	gene	162427	RETREG3	ENSG00000141699
616499	gene	94107	TMEM203	ENSG00000187713
616500	phenotype			
616501	phenotype			
616502	phenotype			
616503	phenotype			
616504	gene	57721	METTL14	ENSG00000145388
616505	phenotype			
616506	gene	79625	NDNF	ENSG00000173376
616507	phenotype			
616508	gene	201266	SLC39A11	ENSG00000133195
616509	phenotype			
616510	gene	64841	GNPNAT1	ENSG00000100522
616511	phenotype			
616512	gene	220441	RNF152	ENSG00000176641
616513	gene	23185	LARP4B	ENSG00000107929
616514	gene	348262	MCRIP1	ENSG00000225663
616515	phenotype			
616516	phenotype			
616517	phenotype			
616518	gene	145389	SLC38A6	ENSG00000139974
616519	gene	201626	PDE12	ENSG00000174840
616520	gene	23382	AHCYL2	ENSG00000158467
616521	phenotype			
616522	gene	84259	DCUN1D5	ENSG00000137692
616523	gene	9848	MFAP3L	ENSG00000198948
616524	gene	135932	TMEM139	ENSG00000178826
616525	gene	124565	SLC38A10	ENSG00000157637
616526	gene	151258	SLC38A11	ENSG00000169507
616527	gene	119392	SFR1	ENSG00000156384
616528	gene	375757	SWI5	ENSG00000175854
616529	gene	54915	YTHDF1	ENSG00000149658
616530	gene	64848	YTHDC2	ENSG00000047188
616531	phenotype			
616532	phenotype			
616533	gene	64794	DDX31	ENSG00000125485
616534	phenotype			
616535	phenotype			
616536	gene	128821	CST9L	ENSG00000101435
616537	gene	128434	VSTM2L	ENSG00000132821
616538	phenotype			
616539	phenotype			
616540	phenotype			
616541	phenotype			
616542	gene	219409	GSX1	ENSG00000169840
616543	gene	128822	CST9	ENSG00000173335
616544	phenotype			
616545	gene	10650	PRELID3A	ENSG00000141391
616546	phenotype			
616547	gene	254773	LYG2	ENSG00000185674
616548	gene	127018	LYPLAL1	ENSG00000143353
616549	phenotype			
616550	gene	83862	TMEM120A	ENSG00000189077
616551	gene	144404	TMEM120B	ENSG00000188735
616552	gene	138199	CARNMT1	ENSG00000156017
616553	phenotype			
616554	gene	200162	SPAG17	ENSG00000155761
616555	gene	9884	LRRC37A	ENSG00000176681
616556	gene	474170	LRRC37A2	ENSG00000238083
616557	gene	374819	LRRC37A3	ENSG00000176809
616558	gene	114659	LRRC37B	ENSG00000185158
616559	phenotype			
616560	gene	100130520	CD300H	ENSG00000284690
616561	gene	64926	RASAL3	ENSG00000105122
616562	phenotype			
616563	gene	9748	SLK	ENSG00000065613
616564	phenotype			
616565	gene	374860	ANKRD30B	ENSG00000180777
616566	phenotype			
616567	gene	23604	DAPK2	ENSG00000035664
616568	phenotype			
616569	gene	51380	CSAD	ENSG00000139631
616570	phenotype			
616571	gene	348174	CLEC18A	ENSG00000157322
616572	gene	497190	CLEC18B	ENSG00000140839
616573	gene	283971	CLEC18C	ENSG00000157335
616574	gene	440574	MICOS10	ENSG00000173436
616575	gene	114823	LENG8	ENSG00000167615
616576	phenotype			
616577	phenotype			
616578	gene	22890	ZBTB1	ENSG00000126804
616579	phenotype			
616580	phenotype			
616581	gene	390245	KDM4E	ENSG00000235268
616582	gene	51599	LSR	ENSG00000105699
616583	phenotype			
616584	gene	26165	SPATA31A7	ENSG00000276040
616585	gene	89970	RSPRY1	ENSG00000159579
616586	phenotype			
616587	gene	79607	FAM118B	ENSG00000197798
616588	gene	200895	DHFR2	ENSG00000178700
616589	phenotype			
616590	gene	9925	ZBTB5	ENSG00000168795
616591	gene	201501	ZBTB7C	ENSG00000184828
616592	phenotype			
616593	gene	388581	C1QTNF12	ENSG00000184163
616594	gene	55616	ASAP3	ENSG00000088280
616595	gene	57621	ZBTB2	ENSG00000181472
616596	gene	55207	ARL8B	ENSG00000134108
616597	gene	127829	ARL8A	ENSG00000143862
616598	gene	118426	BORCS5	ENSG00000165714
616599	gene	54785	BORCS6	ENSG00000196544
616600	gene	119032	BORCS7	ENSG00000166275
616601	gene	729991	BORCS8	ENSG00000254901
616602	phenotype			
616603	phenotype			
616604	phenotype			
616605	gene	51527	GSKIP	ENSG00000100744
616606	phenotype			
616607	gene	84541	KBTBD8	ENSG00000163376
616608	gene	90355	MACIR	ENSG00000181751
616609	gene	157378	TMEM65	ENSG00000164983
616610	gene	401237	CASC15	
616611	gene	645323	MIR9-2HG	ENSG00000245526
616612	gene	646300	COL6A4P2	
616613	gene	131873	COL6A6	ENSG00000206384
616614	gene	54969	HPF1	ENSG00000056050
616615	gene	55790	CSGALNACT1	ENSG00000147408
616616	gene	55454	CSGALNACT2	ENSG00000169826
616617	phenotype			
616618	gene	91452	ACBD5	ENSG00000107897
616619	gene	344595	DUBR	ENSG00000243701
616620	gene	55759	WDR12	ENSG00000138442
616621	gene	55661	DDX27	ENSG00000124228
616622	phenotype			
616623	gene	9834	FAM30A	ENSG00000226777
616624	gene	55421	NCBP3	ENSG00000074356
616625	phenotype			
616626	gene	51148	CERCAM	ENSG00000167123
616627	gene	50512	PODXL2	ENSG00000114631
616628	gene	84792	FAM220A	ENSG00000178397
616629	phenotype			
616630	gene	140767	NRSN1	ENSG00000152954
616631	phenotype			
616632	phenotype			
616633	gene	57479	PRR12	ENSG00000126464
616634	gene	25992	SNED1	ENSG00000162804
616635	gene	50626	ZFTRAF1	ENSG00000187954
616636	phenotype			
616637	gene	125058	TBC1D16	ENSG00000167291
616638	phenotype			
616639	gene	56978	PRDM8	ENSG00000152784
616640	phenotype			
